Rank,Name,Symbol,country,sector,previousClose,marketCap,trailingPE,forwardPE,priceToBook,profitMargins,enterpriseToRevenue,enterpriseToEbitda,totalRevenue,revenuePerShare,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,returnOnAssets,returnOnEquity,debtToEquity,currentRatio,quickRatio,totalCash,totalDebt,bookValue,beta,fiveYearAvgDividendYield,payoutRatio,trailingAnnualDividendYield,trailingAnnualDividendRate,Index,Continent,maxAge,totalEsg,environmentScore,socialScore,governanceScore,ratingYear,ratingMonth,highestControversy,peerCount,esgPerformance,peerGroup
358,Carrier,CARR,United States,Industrials,67.11,57293074432,54.204914,21.753288,4.1251326,0.24922001,2.962,19.164,22485999616,25.035,0.193,0.26786,0.15459,0.06546,0.03994,0.103590004,89.232,1.253,0.885,3968999936,12844999680,16.031,1.23,N/A,0.8074,0.011846223,0.795,S&P 500,North America,86400,16.17,7.98,4.67,3.53,2025,2,2,68,LAG_PERF,Building Products
359,MetLife,MET,United States,Financial Services,82.74,57251844096,13.638047,8.360166,2.0343537,0.06235,1.294,14.679,70982000640,100.484,-0.019,0.24691,0.08818,0.046669997,0.00508,0.15336001,233.412,1.543,1.283,28228999168,64661999616,39.821,1.064,3.31,0.3628,0.026045443,2.155,S&P 500,North America,86400,15.09,0.5,7.17,7.42,2025,2,2,180,LAG_PERF,Insurance
360,AutoZone,AZO,United States,Consumer Cyclical,3406.66,57000071168,22.52293,19.32641,-12.1192875,0.14175999,6.749,28.866,18579632128,1085.893,0.021,0.53129,0.2338,0.19655001,0.14001,N/A,N/A,0.835,0.098,338352992,12654440448,-277.985,0.703,N/A,0,0,0,S&P 500,North America,86400,10.98,0.16,7.21,3.6,2025,2,2,268,LAG_PERF,Retailing
361,Macquarie,MQG.AX,Australia,Financial Services,228.51,56878574845,21.113844,19.696686,2.61264,0.23288,8.989,N/A,18429999104,49.737,-0.082,0,0,0.25199,0.00971,0.13202,N/A,N/A,N/A,78932000768,176673996800,88.734,1.119,3.71,0.6834,0.030852042,7.05,Other,Other,86400,22.8,1.96,12.3,8.54,2025,2,2,357,AVG_PERF,Diversified Financials
362,Samsung Biologics,207940.KS,South Korea,Healthcare,1157000,56835918458,N/A,48.943317,N/A,0.24115999,18.864,42.557,4364391677952,61320.027,0.148,0.49098998,0.44327,0.28522,0.05266,0.10453,9.156,1.349,0.277,988110651392,969814966272,N/A,0.351,N/A,0,N/A,N/A,Asian Index,Asia,,,,,,,,,,,
363,Howmet Aerospace,HWM,United States,Industrials,138.44,56456155136,46.36786,40.955837,11.699558,0.15545,7.476,29.483,7430000128,18.211,0.092,0.30861,0.25357,0.22634001,0.0959,0.26889,76.219,2.17,0.822,564000000,3471000064,11.097,1.336,N/A,0.0925,0.0018780698,0.26,S&P 500,North America,86400,23.62,7.69,12.56,3.37,2025,2,2,61,AVG_PERF,Aerospace & Defense
364,Life Insurance Corporation of India (LIC),LICI.NS,India,Financial Services,780.9,56421610409,11.38787,12.812294,5.023094,0.0558,0.525,8.613,8857366560768,1400.375,-0.049,0.10024,0.06091,0.06508,N/A,N/A,N/A,N/A,N/A,293902188544,0,154.367,0.48,N/A,0.1469,0.0025611473,2,Asian Index,Asia,,,,,,,,,,,
365,Norfolk Southern,NSC,United States,Industrials,249.41,56393388032,21.414001,18.244476,3.919571,0.21628,5.978,11.975,12122999808,53.618,-0.016,0.49922,0.49922,0.37665,0.06883,0.1936,125.905,0.899,0.764,1640999936,18012000256,63.211,1.347,1.99,0.4667,0.021651097,5.4,S&P 500,North America,86400,23.04,8.12,10.5,4.42,2025,2,3,172,AVG_PERF,Transportation
366,Paccar,PCAR,United States,Industrials,106.46,56220921856,13.222785,13.46134,3.1289504,0.12363,1.817,11.404,33663799296,64.085,-0.129,0.17616,0.15935999,0.13046,0.07408,0.24933,91.445,2.039,1.818,9649899520,16009199616,33.385,0.928,1.38,0.1481,0.010990043,1.17,S&P 500,North America,86400,31.38,11.87,12,7.5,2025,2,3,268,LEAD_PERF,Machinery
367,Wesfarmers,WES.AX,Australia,Consumer Cyclical,76.12,56077171525,34.017696,29.231937,9.724259,0.05775,2.149,21.387,45006000128,39.705,0.036,0.34004003,0.1005,0.09421,0.08943,0.29887,120.606,1.107,0.294,487000000,10821999616,7.906,0.861,3.35,0.8595,0.026537046,2.02,Other,Other,86400,14.71,4.78,7.6,2.33,2025,2,2,268,LAG_PERF,Retailing
